730|50|1
430|30|2
90|310|2
310|90|2
210|590|1
630|170|1
170|230|2
410|530|1
750|50|1
250|270|1
550|250|1
410|370|1
470|330|1
250|390|1
390|410|1
390|530|1
330|470|1
250|550|1
250|310|1
330|110|1
610|170|1
670|130|1
130|270|2
530|250|1
590|210|1
210|190|2
450|330|1
350|50|2
290|110|2
350|530|1
350|410|1
110|290|2
630|150|1
10|390|2
790|10|1
490|30|2
250|490|1
750|30|1
250|250|1
550|230|1
710|70|1
330|170|1
410|390|1
250|410|1
50|350|2
330|330|1
330|70|2
610|190|1
670|110|1
530|270|1
770|30|1
250|90|1
450|350|1
370|430|1
290|510|1
490|290|1
510|30|2
230|170|2
150|250|2
570|230|1
490|310|1
290|530|1
510|270|1
90|470|2
430|350|1
130|510|2
390|10|2
70|450|2
70|330|2
170|550|2
470|410|1
450|70|1
710|90|1
250|350|1
250|470|1
250|190|1
330|270|1
250|510|1
470|370|1
470|250|1
470|130|1
250|230|1
370|70|1
310|530|1
770|10|1
310|490|1
230|570|1
150|530|2
650|150|1
570|210|1
730|70|1
510|290|1
690|90|1
390|70|1
430|370|1
30|370|2
350|450|1
30|410|2
690|110|1
110|490|2
590|190|1
330|130|1
470|470|1
470|350|1
250|330|1
330|530|1
250|450|1
470|190|1
250|210|1
390|390|1
190|570|2
370|10|2
190|210|2
270|130|2
650|130|1
50|430|2
